gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,,,,,,
NovelmiRNA-701,1.318536171,-2.9039969,2.225712077,-1.304749581,0.191978132,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-1074,1.318536171,-2.9039969,2.225712077,-1.304749581,0.191978132,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-55,1.272766068,-2.878943088,2.226541068,-1.293011447,0.1960071,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-331,1.272766068,-2.878943088,2.226541068,-1.293011447,0.1960071,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-393,1.272766068,-2.878943088,2.226541068,-1.293011447,0.1960071,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-814,1.272766068,-2.878943088,2.226541068,-1.293011447,0.1960071,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-1093,1.272766068,-2.878943088,2.226541068,-1.293011447,0.1960071,0.694462852,,,0.748560655,,,,,,
hsa-miR-3692-5p,1.264439167,-2.8406487,2.22777027,-1.275108452,0.202270858,0.694462852,,,0.748560655,,,,,,
hsa-miR-4728-5p,1.264439167,-2.8406487,2.22777027,-1.275108452,0.202270858,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-100,1.264439167,-2.8406487,2.22777027,-1.275108452,0.202270858,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-242,1.264439167,-2.8406487,2.22777027,-1.275108452,0.202270858,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-629,1.264439167,-2.8406487,2.22777027,-1.275108452,0.202270858,0.694462852,,,0.748560655,,,,,,
NovelmiRNA-699,1.264439167,-2.8406487,2.22777027,-1.275108452,0.202270858,0.694462852,,,0.747561803,,,,,,
NovelmiRNA-853,1.264439167,-2.8406487,2.22777027,-1.275108452,0.202270858,0.694462852,,,0.747561803,,,,,,
NovelmiRNA-165,1.172032152,-2.796697125,2.229022231,-1.254674398,0.209596983,0.694462852,,,0.747561803,,,,,,
hsa-miR-5583-3p,0.84056929,-2.795007159,2.223949535,-1.256776341,0.208834635,0.694462852,,,0.747561803,,,,,,
hsa-miR-6848-5p,0.860991779,-2.791439971,2.224187429,-1.255038102,0.209464929,0.694462852,,,0.747561803,,,,,,
NovelmiRNA-62,1.145489461,-2.784926758,2.229324073,-1.249224728,0.21158289,0.694462852,,,0.747561803,,,,,,
NovelmiRNA-1022,1.145489461,-2.784926758,2.229324073,-1.249224728,0.21158289,0.694462852,,,0.74695203,,,,,,
NovelmiRNA-1039,1.145489461,-2.784926758,2.229324073,-1.249224728,0.21158289,0.694462852,,,0.74695203,,,,,,
NovelmiRNA-1168,1.145489461,-2.784926758,2.229324073,-1.249224728,0.21158289,0.694462852,,,0.74103402,,,,,,
NovelmiRNA-1188,1.145489461,-2.784926758,2.229324073,-1.249224728,0.21158289,0.694462852,,,0.74103402,,,,,,
hsa-miR-4750-5p,1.018212855,-2.687926167,2.231543195,-1.204514514,0.228390776,0.694462852,,,0.74103402,,,,,,
NovelmiRNA-325,1.018212855,-2.687926167,2.231543195,-1.204514514,0.228390776,0.694462852,,,0.74103402,,,,,,
NovelmiRNA-427,1.018212855,-2.687926167,2.231543195,-1.204514514,0.228390776,0.694462852,,,0.740364564,,,,,,
NovelmiRNA-478,1.018212855,-2.687926167,2.231543195,-1.204514514,0.228390776,0.694462852,,,0.739309493,,,,,,
NovelmiRNA-481,1.018212855,-2.687926167,2.231543195,-1.204514514,0.228390776,0.694462852,,,0.739309493,,,,,,
NovelmiRNA-1004,1.018212855,-2.687926167,2.231543195,-1.204514514,0.228390776,0.694462852,,,0.729612683,,,,,,
