Symbol	N8B
ADCY10P1	9.05598339074639
ADCY2	6.56098794275287
ADCY3	9.91681403213099
ADCY4	11.1310369850247
ADCY5	11.2004081676865
ADCY6	12.4047731362272
ADCY7	9.93629104508854
ADCY9	12.746008417131
ADCYAP1	6.6837821911627
ADCYAP1R1	3.09112137263895
ADD1	13.8201641597746
ADD2	4.40247434155072
ADD3	13.6357262975402
ADGRA1	5.56989753217414
ADGRA2	10.9261529500129
ADGRA3	11.333352674481
ADGRB1	6.86560531475419
ADGRB2	8.01831508040921
ADGRB3	7.58659197119688
ADGRD1	6.4735642352026
ADGRE1	5.1594832623573
ADGRE2	7.58659197119688
ADGRE3	4.40247434155072
ADGRE4P	5.4568831600636
ADGRE5	10.107803450903
ADGRF1	10.9296373987458
ADGRF3	7.8743003390172
ADGRF5	13.5747740619266
ADGRG1	14.9417795382849
ADGRG2	7.69796278679374
ADGRG3	4.99029879574591
ADGRG4	2.58224178019536
ADGRG5	11.0247174318502
ADGRG6	11.5025588946656
ADGRL1	10.9825882343501
ADGRL2	12.1202499758433
ADGRL3	8.69830919015686
ADGRL4	8.97221907792878
ADGRV1	11.1875479496498
ADH1B	10.9001224616328
ADH1C	8.69244475572298
ADH5	12.7191052612968
ADH6	11.8661786048147
ADHFE1	11.0380890744291
ADI1	13.4774112539342
ADIPOQ	1.6160817441869
ADIPOR1	12.0801212253804
ADIPOR2	11.4554831442186
ADIRF	12.6390302007288
ADK	10.0457885050632
ADM	9.97454138081438
ADM2	11.8403766300239
ADM5	6.97115422254024
ADNP	12.4924774879638
ADNP-AS1	7.6146318312073
ADNP2	11.2495463585907
ADO	10.1858152515141
ADORA1	9.23491084976645
ADORA2A	7.00777206167749
ADORA2A-AS1	10.6627806529185
ADORA2B	7.20161362598828
ADORA3	3.90400496415139
ADPGK	10.6843267799954
ADPRH	9.00249821607282
ADPRHL1	6.79496560985707
ADPRHL2	10.020012228517
ADPRM	8.07141012606257
ADRA1A	8.11480163420459
ADRA1B	8.67278809885435
ADRA2A	8.0439828600645
ADRA2B	8.24010989762204
ADRA2C	8.78236338431785
ADRB1	7.85873111621521
ADRB2	6.84426199742924
ADRM1	11.3707084511822
ADSL	10.4745378790977
ADSS	10.6501388967526
ADSSL1	10.6357802418752
ADTRP	6.41617892540374
AEBP1	12.381171566928
AEBP2	10.9812995315564
AEN	8.94219562823213
AES	13.1872981977593
AFAP1	10.505106127451
AFAP1-AS1	7.02905312399997
AFAP1L1	10.2675285983092
AFAP1L2	11.1343146247065
AFDN	13.6493308363374
AFDN-AS1	8.12340908030226
AFF1	14.3356142966662
AFF2	6.63898954948569
AFF3	9.28180114045476
AFF4	13.4187908430228
AFG3L1P	10.3645897069789
AFG3L2	12.2573194926436
AFM	12.5942951549916
